id	token
251661	𝟬
251700	௦
252024	𝟮
252053	𝟎
252327	➊
252371	𝟐
252381	➋
252497	⒉
252557	❺
252573	𝟰
252601	੩
252752	᱖
252828	᱗
253304	❻
253417	⑸
253482	𝟙
253654	⓵
253655	⓶
253859	⓪
253881	➌
254091	᧐
254297	⒋
254618	⓷
254654	𝟯
254762	➁
254847	੦
254848	౪
254923	❼
254932	𝟖
254974	𝟑
255015	➀
255063	⒏
255189	᱙
255272	𝟕
255276	⒎
255389	⑹
255472	੪
255839	𝟘
255854	੯
255879	➎
